Event;SetupID;DecisionTime;StepFrom;StepTo;Direction;Bid;Ask;SpreadPoints;ATR;ATRPct100;ATRRegime;ADX;DIPlus;DIMinus;RSI;MACDHist;EMA200DistATR;EMA200Slope5ATR;FloatingPnLNoCost;OpenPositions;BasketBE;Session;OpenHour;Mode;Rule;FillPrice;FillTime
P;18;2014.01.21 08:02:07;1;2;BUY;1251.84;1252.16;31.3;0.42;0.033930;1.3603;29.9404;15.9463;58.2597;29.4469;-0.208722;-2.6927;-0.008750;-1.59;2;0.00;London;8;0;M0;0.00;
F;18;2014.01.21 08:02:07;1;2;BUY;1251.84;1252.16;31.3;0.42;0.033930;1.3603;29.9404;15.9463;58.2597;29.4469;-0.208722;-2.6927;-0.008750;-1.59;2;1252.17;London;8;0;M0;1252.16;2014.01.21 08:02:07
A;18;2014.01.21 08:10:29;2;3;BUY;1250.41;1250.76;34.5;0.57;0.045945;0.9766;41.6712;10.2395;41.8142;19.7137;-0.250141;-4.3080;-0.028138;-5.88;2;1252.17;London;8;0;NONE;0.00;
P;18;2014.01.21 08:10:29;2;3;BUY;1250.41;1250.76;34.5;0.57;0.045945;0.9766;41.6712;10.2395;41.8142;19.7137;-0.250141;-4.3080;-0.028138;-6.92;3;1252.17;London;8;0;M0;0.00;
F;18;2014.01.21 08:10:29;2;3;BUY;1250.41;1250.76;34.5;0.57;0.045945;0.9766;41.6712;10.2395;41.8142;19.7137;-0.250141;-4.3080;-0.028138;-6.92;3;1251.30;London;8;0;M0;1250.76;2014.01.21 08:10:29
A;19;2014.01.21 16:36:02;0;1;SELL;1240.77;1241.11;33.9;0.38;0.030626;0.9218;22.6251;21.4539;26.5615;48.0864;-0.029074;0.0888;0.007225;0.00;0;0.00;NewYork;16;0;NONE;0.00;
A;19;2014.01.21 17:06:58;1;2;SELL;1243.04;1243.31;27.0;0.44;0.035377;1.5471;25.7733;38.6743;13.3842;74.5396;0.102038;4.7359;0.028268;-2.54;1;0.00;NewYork;17;0;NONE;0.00;
P;19;2014.01.21 17:06:58;1;2;SELL;1243.04;1243.31;27.0;0.44;0.035377;1.5471;25.7733;38.6743;13.3842;74.5396;0.102038;4.7359;0.028268;-3.08;2;0.00;NewYork;17;0;M0;0.00;
F;19;2014.01.21 17:06:58;1;2;SELL;1243.04;1243.31;27.0;0.44;0.035377;1.5471;25.7733;38.6743;13.3842;74.5396;0.102038;4.7359;0.028268;-3.08;2;1242.41;NewYork;17;0;M0;1243.04;2014.01.21 17:06:58
A;20;2014.01.22 00:54:01;0;1;BUY;1242.72;1243.05;33.0;0.10;0.008147;0.4407;18.3827;20.0028;16.1807;46.5724;-0.019399;3.3053;0.029290;0.00;0;0.00;Asia;0;0;NONE;0.00;
A;20;2014.01.22 01:03:32;1;2;BUY;1242.08;1242.42;34.0;0.34;0.027172;1.9286;28.5592;20.4692;40.1773;33.7787;-0.112206;-1.0367;0.004932;-0.97;1;0.00;Asia;1;0;NONE;0.00;
