sep=,
Group,Side,TF,Indicator,N,Mean,Median,Q25,Q75,Min,Max
ALL,SELL,M15,CCI,2355,103.246024,114.794722,48.943707,161.858106,-187.254219,460.089673
ALL,SELL,M15,DI_PLUS,2355,24.772831,24.493146,19.499391,29.750731,3.007170,50.564303
ALL,SELL,M15,DI_MINUS,2355,12.683436,12.179086,8.856674,15.998473,1.436306,35.095005
ALL,SELL,M15,DI_GAP,2355,13.813901,12.890503,6.564858,19.685541,0.010687,46.502785
ALL,SELL,M15,ATR,2355,2.552866,1.640750,1.032125,2.704625,0.204500,46.659000
ALL,SELL,M15,ATR_PCT_PRICE,2355,0.118234,0.097014,0.068979,0.143932,0.016017,1.363695
ALL,SELL,M15,EMA200_DIST_POINTS,2355,1040.521170,597.117967,277.338879,1171.814451,0.141780,37114.917457
ALL,SELL,M15,EMA200_DIST_ATR,2355,1.225026,1.443409,-2.138997,4.792169,-30.514051,32.032510
ALL,SELL,M30,RSI,2355,56.840034,56.899704,48.809032,65.163369,15.823347,90.201408
ALL,SELL,M30,ADX,2355,29.451709,27.328441,21.308142,35.883028,10.723586,77.244896
ALL,SELL,M30,CCI,2355,80.415444,91.367021,4.710188,148.358530,-263.984359,466.666667
ALL,SELL,M30,DI_PLUS,2355,22.887151,22.617642,17.431925,28.180368,1.527606,48.531876
ALL,SELL,M30,DI_MINUS,2355,13.978535,13.335967,9.834022,17.685078,1.785601,38.856283
ALL,SELL,M30,DI_GAP,2355,12.300996,10.803940,5.190714,18.119767,0.013876,43.980848
ALL,SELL,M30,ATR,2355,3.715653,2.337000,1.515375,3.838750,0.367000,80.369250
ALL,SELL,M30,ATR_PCT_PRICE,2355,0.170572,0.139662,0.099101,0.205105,0.028744,1.735756
ALL,SELL,M30,EMA200_DIST_POINTS,2355,1124.913355,620.689246,270.044757,1268.753341,0.578001,44750.927222
ALL,SELL,M30,EMA200_DIST_ATR,2355,1.071175,1.124966,-1.323081,3.482396,-20.984006,22.493132
ALL,SELL,H1,RSI,2355,54.779100,55.141665,46.282764,63.386817,14.317837,85.704768
ALL,SELL,H1,ADX,2355,29.183260,27.274993,20.824453,35.714328,10.034772,73.767288
ALL,SELL,H1,CCI,2355,55.138353,64.158680,-29.183138,131.511243,-317.081384,340.230503
ALL,SELL,H1,DI_PLUS,2355,20.967874,20.507141,14.871249,26.458282,1.835689,48.366814
ALL,SELL,H1,DI_MINUS,2355,15.075197,14.359723,10.373527,19.114944,2.720608,45.493573
ALL,SELL,H1,DI_GAP,2355,11.374877,9.795850,4.667429,16.796465,0.015439,42.267830
ALL,SELL,H1,ATR,2355,5.361012,3.390000,2.181125,5.427375,0.693250,149.765000
ALL,SELL,H1,ATR_PCT_PRICE,2355,0.244344,0.201281,0.144225,0.292649,0.053215,3.234515
ALL,SELL,H1,EMA200_DIST_POINTS,2355,1165.398472,675.944141,297.176406,1358.661415,0.542915,39321.504565
ALL,SELL,H1,EMA200_DIST_ATR,2355,1.115036,1.048759,-0.772848,2.876819,-17.188036,14.778435
ALL,SELL,H4,RSI,2333,52.702344,52.535929,46.853732,58.690834,17.785616,85.496997
ALL,SELL,H4,ADX,2333,27.466333,26.158105,20.647872,33.008973,10.900567,74.847449
ALL,SELL,H4,CCI,2333,21.370314,29.311733,-66.405253,104.153415,-334.656554,366.579580
ALL,SELL,H4,DI_PLUS,2333,18.965785,18.206091,13.682353,23.746981,2.181577,48.385709
ALL,SELL,H4,DI_MINUS,2333,16.935499,16.189649,12.065029,21.124424,3.497262,45.023627
ALL,SELL,H4,DI_GAP,2333,10.295065,9.338471,4.138828,14.933479,0.006167,42.927261
ALL,SELL,H4,ATR,2333,10.313785,6.506000,4.368000,10.375000,0.958250,236.049000
ALL,SELL,H4,ATR_PCT_PRICE,2333,0.465746,0.393535,0.287972,0.540963,0.074491,5.034332
ALL,SELL,H4,EMA200_DIST_POINTS,2333,3358.283808,1935.594733,785.667628,4064.459790,0.147989,43298.482266
ALL,SELL,H4,EMA200_DIST_ATR,2333,1.262379,1.077430,-1.633359,4.136423,-17.769717,23.536023
SETUP_STOP,ALL,M1,RSI,383,35.919782,30.300000,23.121557,46.983713,4.751411,94.402145
SETUP_STOP,ALL,M1,ADX,383,37.092555,33.697616,25.671674,47.991208,14.096593,89.058620
SETUP_STOP,ALL,M1,CCI,383,-105.560056,-155.175086,-213.037682,21.842030,-466.666667,466.666667
SETUP_STOP,ALL,M1,DI_PLUS,383,14.870090,11.774160,7.692334,19.528907,0.894981,54.038483
SETUP_STOP,ALL,M1,DI_MINUS,383,29.352170,31.977614,18.093811,38.176391,4.025350,58.632991
SETUP_STOP,ALL,M1,DI_GAP,383,22.238146,23.845249,12.272755,31.077932,0.179042,57.285740
SETUP_STOP,ALL,M1,ATR,383,1.906974,1.115000,0.448125,2.237000,0.077000,19.901500
SETUP_STOP,ALL,M1,ATR_PCT_PRICE,383,0.065654,0.047755,0.027150,0.085222,0.005816,0.416671
SETUP_STOP,ALL,M1,EMA200_DIST_POINTS,383,1017.462907,489.510508,190.640963,1163.114923,3.367892,12329.541680
SETUP_STOP,ALL,M1,EMA200_DIST_ATR,383,-3.621554,-4.610319,-6.878805,-1.078742,-18.004947,12.725981
SETUP_STOP,ALL,M5,RSI,383,36.927803,33.056427,24.020094,46.343020,8.049822,88.218530
SETUP_STOP,ALL,M5,ADX,383,35.638875,33.590787,25.876457,44.135835,10.757575,77.573579
SETUP_STOP,ALL,M5,CCI,383,-118.535894,-149.670807,-207.829835,-82.512686,-438.706121,466.666667
SETUP_STOP,ALL,M5,DI_PLUS,383,12.890517,10.224188,7.212482,15.498110,1.210981,47.996007
SETUP_STOP,ALL,M5,DI_MINUS,383,27.630714,28.778045,20.930918,34.505627,3.288107,53.992585
SETUP_STOP,ALL,M5,DI_GAP,383,20.375387,20.763168,12.680108,27.571861,0.045010,49.809634
SETUP_STOP,ALL,M5,ATR,383,3.709526,1.996500,0.920500,4.409125,0.137750,30.328250
SETUP_STOP,ALL,M5,ATR_PCT_PRICE,383,0.125848,0.100164,0.054127,0.157648,0.012022,0.733809
SETUP_STOP,ALL,M5,EMA200_DIST_POINTS,383,1608.389155,768.715612,284.650173,1762.329568,0.150749,24035.769164
SETUP_STOP,ALL,M5,EMA200_DIST_ATR,383,-2.116667,-3.042559,-5.110818,0.264215,-16.976156,23.130177
SETUP_STOP,ALL,M15,RSI,383,39.435790,35.931094,26.980079,48.781258,7.383082,91.499408
