Direction,TF,Feature,Outcome,N_total,N_complete,N_missing,N_zero,Median,Q1,Q3,IQR,Min,Max
BUY,M5,DIPlus,TARGET,3255,3255,0,0,11.572488,8.483393,15.170734,6.687341,1.238876,39.067600
BUY,M5,DIPlus,BE,282,282,0,0,12.156972,8.365072,15.410868,7.045796,2.340412,33.807723
BUY,M5,DIPlus,OTHER_NONSTOP,1,1,0,0,17.967846,17.967846,17.967846,0.000000,17.967846,17.967846
BUY,M5,DIMinus,STOP,75,75,0,0,23.902865,18.953616,30.647894,11.694278,13.500395,46.741627
BUY,M5,DIMinus,NON-STOP,3538,3538,0,0,25.487765,20.394174,30.675717,10.281544,2.929765,54.193774
BUY,M5,DIMinus,TARGET,3255,3255,0,0,25.578306,20.440276,30.640054,10.199778,4.137912,54.193774
BUY,M5,DIMinus,BE,282,282,0,0,24.942660,19.887354,31.101310,11.213956,2.929765,46.776633
BUY,M5,DIMinus,OTHER_NONSTOP,1,1,0,0,14.430947,14.430947,14.430947,0.000000,14.430947,14.430947
BUY,M5,DIGap,STOP,75,75,0,0,12.623820,7.148010,20.079810,12.931800,0.404791,42.873667
BUY,M5,DIGap,NON-STOP,3538,3538,0,0,13.906704,7.321981,20.870579,13.548598,0.002861,48.019722
BUY,M5,DIGap,TARGET,3255,3255,0,0,13.883471,7.330564,20.889086,13.558522,0.002861,48.019722
BUY,M5,DIGap,BE,282,282,0,0,14.330493,7.316497,20.573538,13.257040,0.134667,41.764782
BUY,M5,DIGap,OTHER_NONSTOP,1,1,0,0,3.536899,3.536899,3.536899,0.000000,3.536899,3.536899
BUY,M5,ATR,STOP,75,75,0,0,1.850000,0.660000,4.985000,4.325000,0.140000,24.670000
BUY,M5,ATR,NON-STOP,3538,3538,0,0,0.990000,0.620000,1.787500,1.167500,0.080000,57.160000
BUY,M5,ATR,TARGET,3255,3255,0,0,1.040000,0.650000,1.850000,1.200000,0.080000,57.160000
BUY,M5,ATR,BE,282,282,0,0,0.650000,0.440000,1.090000,0.650000,0.120000,4.660000
BUY,M5,ATR,OTHER_NONSTOP,1,1,0,0,4.360000,4.360000,4.360000,0.000000,4.360000,4.360000
BUY,M5,CCI,STOP,75,75,0,0,-115.158381,-152.541512,-53.540246,99.001266,-293.905527,73.125689
BUY,M5,CCI,NON-STOP,3538,3538,0,0,-109.308480,-141.340156,-66.573593,74.766562,-466.666667,273.618210
BUY,M5,CCI,TARGET,3255,3255,0,0,-109.885376,-141.469248,-67.460995,74.008253,-466.666667,273.618210
BUY,M5,CCI,BE,282,282,0,0,-104.767043,-139.893856,-58.120851,81.773005,-252.845066,215.581911
BUY,M5,CCI,OTHER_NONSTOP,1,1,0,0,-11.508378,-11.508378,-11.508378,0.000000,-11.508378,-11.508378
BUY,M5,EMA20,STOP,75,75,0,0,1961.460000,1422.425000,4054.635000,2632.210000,1122.690000,5421.210000
BUY,M5,EMA20,NON-STOP,3538,3538,0,0,1768.190000,1290.452500,2036.037500,745.585000,1060.710000,5341.830000
BUY,M5,EMA20,TARGET,3255,3255,0,0,1783.500000,1293.390000,2141.740000,848.350000,1060.710000,5341.830000
BUY,M5,EMA20,BE,282,282,0,0,1325.740000,1246.527500,1812.827500,566.300000,1066.360000,5206.890000
BUY,M5,EMA20,OTHER_NONSTOP,1,1,0,0,4393.700000,4393.700000,4393.700000,0.000000,4393.700000,4393.700000
BUY,M5,EMA50,STOP,75,75,0,0,1965.800000,1422.030000,4054.880000,2632.850000,1123.110000,5398.970000
BUY,M5,EMA50,NON-STOP,3538,3538,0,0,1768.830000,1290.272500,2035.995000,745.722500,1061.460000,5345.800000
BUY,M5,EMA50,TARGET,3255,3255,0,0,1783.350000,1293.560000,2140.480000,846.920000,1061.460000,5345.800000
BUY,M5,EMA50,BE,282,282,0,0,1326.095000,1245.585000,1812.640000,567.055000,1067.250000,5200.870000
BUY,M5,EMA50,OTHER_NONSTOP,1,1,0,0,4393.810000,4393.810000,4393.810000,0.000000,4393.810000,4393.810000
BUY,M5,EMA100,STOP,75,75,0,0,1969.780000,1421.400000,4054.740000,2633.340000,1123.140000,5391.830000
BUY,M5,EMA100,NON-STOP,3538,3538,0,0,1768.505000,1289.997500,2035.610000,745.612500,1061.540000,5386.330000
BUY,M5,EMA100,TARGET,3255,3255,0,0,1783.110000,1293.485000,2138.755000,845.270000,1061.540000,5386.330000
BUY,M5,EMA100,BE,282,282,0,0,1326.035000,1245.082500,1812.147500,567.065000,1068.070000,5194.250000
BUY,M5,EMA100,OTHER_NONSTOP,1,1,0,0,4395.650000,4395.650000,4395.650000,0.000000,4395.650000,4395.650000
BUY,M5,EMA200,STOP,75,75,0,0,1974.260000,1420.345000,4053.040000,2632.695000,1122.810000,5404.870000
BUY,M5,EMA200,NON-STOP,3538,3538,0,0,1765.910000,1289.717500,2034.250000,744.532500,1059.690000,5417.230000
BUY,M5,EMA200,TARGET,3255,3255,0,0,1783.010000,1293.315000,2135.175000,841.860000,1059.690000,5417.230000
BUY,M5,EMA200,BE,282,282,0,0,1326.560000,1243.762500,1812.940000,569.177500,1068.210000,5186.840000
BUY,M5,EMA200,OTHER_NONSTOP,1,1,0,0,4398.770000,4398.770000,4398.770000,0.000000,4398.770000,4398.770000
BUY,M5,EMA200DistATR,STOP,75,75,0,0,-1.033657,-2.803777,1.919307,4.723084,-16.074120,18.017110
BUY,M5,EMA200DistATR,NON-STOP,3538,3538,0,0,-0.669584,-3.457862,2.644926,6.102788,-27.581208,36.567655
BUY,M5,EMA200DistATR,TARGET,3255,3255,0,0,-0.637094,-3.346160,2.651099,5.997258,-27.581208,36.567655
BUY,M5,EMA200DistATR,BE,282,282,0,0,-1.159549,-5.120968,2.601924,7.722893,-25.056549,33.977024
BUY,M5,EMA200DistATR,OTHER_NONSTOP,1,1,0,0,-1.015157,-1.015157,-1.015157,0.000000,-1.015157,-1.015157
BUY,M5,RSISlope5,STOP,75,75,0,0,-1.593278,-2.660442,-0.605846,2.054596,-4.939719,5.102334
BUY,M5,RSISlope5,NON-STOP,3538,3538,0,0,-1.432578,-2.405102,-0.540489,1.864613,-8.307992,6.922288
BUY,M5,RSISlope5,TARGET,3255,3255,0,0,-1.462700,-2.435217,-0.571084,1.864134,-8.307992,6.922288
BUY,M5,RSISlope5,BE,282,282,0,0,-1.126264,-2.094618,-0.264838,1.829780,-8.090009,2.480559
BUY,M5,RSISlope5,OTHER_NONSTOP,1,1,0,0,-1.059227,-1.059227,-1.059227,0.000000,-1.059227,-1.059227
BUY,M5,CCISlope5,STOP,75,75,0,0,-17.783422,-31.676851,-0.706650,30.970201,-83.486465,79.760110
BUY,M5,CCISlope5,NON-STOP,3538,3538,0,0,-16.084818,-30.408580,-0.399381,30.009198,-103.328500,74.005941
BUY,M5,CCISlope5,TARGET,3255,3255,0,0,-16.542729,-30.793080,-0.813671,29.979409,-103.328500,74.005941
BUY,M5,CCISlope5,BE,282,282,0,0,-11.548990,-25.799517,2.068849,27.868366,-70.346472,48.884203
BUY,M5,CCISlope5,OTHER_NONSTOP,1,1,0,0,-24.414238,-24.414238,-24.414238,0.000000,-24.414238,-24.414238
BUY,M5,ADXSlope5,STOP,75,75,0,0,0.170134,-1.200308,1.467497,2.667805,-5.053963,4.890365
BUY,M5,ADXSlope5,NON-STOP,3538,3538,0,0,0.350378,-0.945346,2.018728,2.964074,-6.399265,5.525396
BUY,M5,ADXSlope5,TARGET,3255,3255,0,0,0.363303,-0.943151,2.006282,2.949432,-6.399265,5.525396
BUY,M5,ADXSlope5,BE,282,282,0,0,0.160466,-0.967051,2.214925,3.181976,-5.104800,4.961699
BUY,M5,ADXSlope5,OTHER_NONSTOP,1,1,0,0,0.020868,0.020868,0.020868,0.000000,0.020868,0.020868
BUY,M5,ATRRegime,STOP,75,75,0,0,1.017174,0.825833,1.316654,0.490822,0.252097,3.711433
BUY,M5,ATRRegime,NON-STOP,3538,3538,0,0,0.983918,0.773251,1.270504,0.497253,0.151190,9.252525
BUY,M5,ATRRegime,TARGET,3255,3255,0,0,0.985915,0.773638,1.269506,0.495868,0.253317,9.252525
BUY,M5,ATRRegime,BE,282,282,0,0,0.960355,0.752157,1.311124,0.558968,0.151190,4.452236
BUY,M5,ATRRegime,OTHER_NONSTOP,1,1,0,0,0.874624,0.874624,0.874624,0.000000,0.874624,0.874624
BUY,M5,EMA20Slope5ATR,STOP,75,75,0,0,-0.052416,-0.125964,0.013142,0.139106,-0.313864,0.208727
