Direction,TF,Feature,Outcome,Value,N_total,N_complete,N_missing,Count,Pct_of_all_group,Pct_of_nonmissing
BUY,M30,EMAOrder,TARGET,E100>E200>E50>E20,3255,3252,3,96,2.949309,2.952030
BUY,M30,EMAOrder,TARGET,E100>E20>E200>E50,3255,3252,3,1,0.030722,0.030750
BUY,M30,EMAOrder,TARGET,E100>E20>E50>E200,3255,3252,3,6,0.184332,0.184502
BUY,M30,EMAOrder,TARGET,E100>E50>E200>E20,3255,3252,3,64,1.966206,1.968020
BUY,M30,EMAOrder,TARGET,E100>E50>E20>E200,3255,3252,3,59,1.812596,1.814268
BUY,M30,EMAOrder,TARGET,E200>E100>E20>E50,3255,3252,3,170,5.222734,5.227552
BUY,M30,EMAOrder,TARGET,E200>E100>E50>E20,3255,3252,3,815,25.038402,25.061501
BUY,M30,EMAOrder,TARGET,E200>E20>E100>E50,3255,3252,3,113,3.471582,3.474785
BUY,M30,EMAOrder,TARGET,E200>E20>E50>E100,3255,3252,3,57,1.751152,1.752768
BUY,M30,EMAOrder,TARGET,E200>E50>E100>E20,3255,3252,3,12,0.368664,0.369004
BUY,M30,EMAOrder,TARGET,E200>E50>E20>E100,3255,3252,3,7,0.215054,0.215252
BUY,M30,EMAOrder,TARGET,E20>E100>E200>E50,3255,3252,3,3,0.092166,0.092251
BUY,M30,EMAOrder,TARGET,E20>E100>E50>E200,3255,3252,3,13,0.399386,0.399754
BUY,M30,EMAOrder,TARGET,E20>E200>E100>E50,3255,3252,3,12,0.368664,0.369004
BUY,M30,EMAOrder,TARGET,E20>E200>E50>E100,3255,3252,3,88,2.703533,2.706027
BUY,M30,EMAOrder,TARGET,E20>E50>E100>E200,3255,3252,3,1347,41.382488,41.420664
BUY,M30,EMAOrder,TARGET,E20>E50>E200>E100,3255,3252,3,103,3.164363,3.167282
BUY,M30,EMAOrder,TARGET,E50>E100>E200>E20,3255,3252,3,9,0.276498,0.276753
BUY,M30,EMAOrder,TARGET,E50>E100>E20>E200,3255,3252,3,113,3.471582,3.474785
BUY,M30,EMAOrder,TARGET,E50>E200>E100>E20,3255,3252,3,1,0.030722,0.030750
BUY,M30,EMAOrder,TARGET,E50>E20>E100>E200,3255,3252,3,159,4.884793,4.889299
BUY,M30,EMAOrder,TARGET,E50>E20>E200>E100,3255,3252,3,1,0.030722,0.030750
BUY,M30,EMAOrder,TARGET,[MISSING],3255,3252,3,3,0.092166,
BUY,M30,EMAOrder,BE,E100>E200>E20>E50,282,281,1,0,0.000000,0.000000
