sep=,
Group,Side,TF,Indicator,N,Mean,Median,Q25,Q75,Min,Max
ALL,SELL,M5,RSI,32,59.644208,61.326536,53.902432,64.129569,38.232662,75.267359
ALL,SELL,M5,ADX,32,33.252173,30.416243,23.747900,41.972442,13.145643,55.748074
ALL,SELL,M5,CCI,32,95.233767,109.952577,64.570901,137.519487,-93.154385,214.605235
ALL,SELL,M5,DI_PLUS,32,26.125234,25.729206,20.914610,30.926703,12.696704,37.300217
ALL,SELL,M5,DI_MINUS,32,12.017617,10.491355,8.363661,16.320021,4.570722,23.683720
ALL,SELL,M5,DI_GAP,32,14.652141,14.147366,7.551775,21.682831,0.489103,30.815133
ALL,SELL,M5,ATR,32,0.784297,0.730250,0.484750,1.026938,0.308750,1.889250
ALL,SELL,M5,ATR_PCT_PRICE,32,0.061921,0.056451,0.038669,0.077653,0.023182,0.152226
ALL,SELL,M5,EMA200_DIST_POINTS,32,206.571019,171.629879,73.890510,306.668227,8.079001,740.274596
ALL,SELL,M5,EMA200_DIST_ATR,32,-1.174380,-1.076392,-4.049604,0.901853,-7.763020,5.635893
ALL,SELL,M15,RSI,32,53.683404,52.560029,48.271952,58.106356,37.435471,80.216252
ALL,SELL,M15,ADX,32,28.963611,27.244618,21.353684,35.029330,16.826094,63.301964
ALL,SELL,M15,CCI,32,93.923799,103.247344,38.692436,151.706851,-83.223352,234.045729
ALL,SELL,M15,DI_PLUS,32,23.309992,23.742260,20.124816,27.914497,10.412903,40.029783
ALL,SELL,M15,DI_MINUS,32,14.498936,14.234026,9.656683,18.651121,3.348029,25.037025
ALL,SELL,M15,DI_GAP,32,11.245614,9.180272,4.980023,17.320846,0.103239,36.681754
ALL,SELL,M15,ATR,32,1.382602,1.175500,0.949625,1.732438,0.573250,2.850500
ALL,SELL,M15,ATR_PCT_PRICE,32,0.108954,0.094179,0.074684,0.133280,0.045548,0.229175
ALL,SELL,M15,EMA200_DIST_POINTS,32,366.533617,334.489608,222.826275,513.838601,2.508310,880.036347
ALL,SELL,M15,EMA200_DIST_ATR,32,-2.802278,-2.575680,-4.429132,-0.790092,-15.338324,3.526992
ALL,SELL,M30,RSI,32,49.885118,49.142847,43.310843,54.164655,33.183185,76.501805
ALL,SELL,M30,ADX,32,23.944173,23.626229,21.120743,25.978545,15.146336,42.631952
ALL,SELL,M30,CCI,32,46.534481,17.711090,-34.361824,132.368931,-106.595596,288.507713
ALL,SELL,M30,DI_PLUS,32,20.911307,19.527562,15.539979,25.307750,11.744787,40.333311
ALL,SELL,M30,DI_MINUS,32,15.520059,15.011030,12.233502,18.485165,6.803783,25.399470
ALL,SELL,M30,DI_GAP,32,9.330826,8.911535,3.618638,11.605122,0.358590,33.529528
ALL,SELL,M30,ATR,32,1.926094,1.759375,1.313313,2.368437,0.842250,3.561000
ALL,SELL,M30,ATR_PCT_PRICE,32,0.151635,0.137710,0.105982,0.181357,0.063239,0.274571
