sep=,
Group,Side,TF,Indicator,N,Mean,Median,Q25,Q75,Min,Max
SETUP_STOP,ALL,M30,DI_GAP,394,15.676185,15.081530,7.584915,22.183543,0.051849,40.569308
SETUP_STOP,ALL,M30,ATR,394,7.016520,3.638625,1.751000,7.841062,0.647250,80.369250
SETUP_STOP,ALL,M30,ATR_PCT_PRICE,394,0.246914,0.179067,0.119672,0.308523,0.046815,1.735756
SETUP_STOP,ALL,M30,EMA200_DIST_POINTS,394,2839.625291,1248.008112,502.501089,2465.610125,6.193672,44750.927222
SETUP_STOP,ALL,M30,EMA200_DIST_ATR,394,-0.648712,-0.937091,-4.553543,2.612595,-19.280914,24.473387
SETUP_STOP,ALL,H1,RSI,394,43.516279,43.195181,34.016324,51.334935,8.332642,78.643192
SETUP_STOP,ALL,H1,ADX,394,30.733315,29.069078,22.566649,36.510060,9.981282,77.345545
SETUP_STOP,ALL,H1,CCI,394,-77.741821,-97.901509,-171.327006,17.278418,-384.317687,294.023134
SETUP_STOP,ALL,H1,DI_PLUS,394,14.811051,13.095057,9.857440,18.348762,2.246696,44.671722
SETUP_STOP,ALL,H1,DI_MINUS,394,22.753736,23.241304,15.911562,28.691822,4.789705,45.011101
SETUP_STOP,ALL,H1,DI_GAP,394,14.107196,13.286511,6.177186,20.691422,0.002920,41.716917
SETUP_STOP,ALL,H1,ATR,394,9.547963,4.668000,2.579188,10.504375,0.847750,149.765000
SETUP_STOP,ALL,H1,ATR_PCT_PRICE,394,0.332633,0.259338,0.176674,0.376612,0.068104,3.234515
SETUP_STOP,ALL,H1,EMA200_DIST_POINTS,394,3736.739411,1632.074926,780.798867,3604.841542,0.284519,48792.421407
SETUP_STOP,ALL,H1,EMA200_DIST_ATR,394,-0.284121,0.226415,-4.704069,3.671196,-15.527422,14.533773
SETUP_STOP,ALL,H4,RSI,389,46.825627,47.002865,36.965153,56.403883,10.416686,83.987652
SETUP_STOP,ALL,H4,ADX,389,29.104715,27.258592,21.208059,34.309403,10.946815,64.826878
SETUP_STOP,ALL,H4,CCI,389,-37.303870,-36.272148,-129.495889,42.724141,-340.041631,306.199274
SETUP_STOP,ALL,H4,DI_PLUS,389,16.316716,15.567614,11.376096,20.760060,1.872096,33.386573
SETUP_STOP,ALL,H4,DI_MINUS,389,20.256607,19.017863,13.890715,25.756532,4.164351,50.113185
SETUP_STOP,ALL,H4,DI_GAP,389,11.323352,9.389105,4.841036,16.683569,0.050035,42.513753
SETUP_STOP,ALL,H4,ATR,389,18.473463,7.831500,4.676500,20.610000,1.958750,236.049000
SETUP_STOP,ALL,H4,ATR_PCT_PRICE,389,0.611990,0.461458,0.298687,0.728182,0.136208,5.034332
SETUP_STOP,ALL,H4,EMA200_DIST_POINTS,389,7220.503657,3367.030756,1394.315671,7938.739950,9.541926,73598.699004
SETUP_STOP,ALL,H4,EMA200_DIST_ATR,389,0.600177,0.953781,-3.029287,4.503746,-13.458563,19.108330
SETUP_STOP,BUY,M1,RSI,339,31.409486,28.710570,23.194735,36.490453,3.982160,81.759937
SETUP_STOP,BUY,M1,ADX,339,36.308378,33.188612,25.026471,46.786412,10.362796,89.058620
SETUP_STOP,BUY,M1,CCI,339,-134.147562,-158.844722,-217.345561,-59.723904,-466.666667,281.504760
SETUP_STOP,BUY,M1,DI_PLUS,339,12.533867,11.201164,7.086610,17.262697,0.894981,40.673696
SETUP_STOP,BUY,M1,DI_MINUS,339,30.910840,31.999605,23.066228,37.676842,2.518726,58.632991
SETUP_STOP,BUY,M1,DI_GAP,339,21.024473,21.723693,11.091224,29.584451,0.204886,57.285740
SETUP_STOP,BUY,M1,ATR,339,1.663580,0.888500,0.424500,1.871750,0.077000,19.901500
SETUP_STOP,BUY,M1,ATR_PCT_PRICE,339,0.060040,0.045873,0.026978,0.067174,0.005816,0.416671
SETUP_STOP,BUY,M1,EMA200_DIST_POINTS,339,920.545295,460.230985,179.284486,1051.788048,3.367892,12329.541680
SETUP_STOP,BUY,M1,EMA200_DIST_ATR,339,-5.494116,-5.235873,-7.764091,-3.219006,-46.378751,10.596389
SETUP_STOP,BUY,M5,RSI,339,32.140095,30.675068,23.596810,38.643352,8.049822,70.975830
SETUP_STOP,BUY,M5,ADX,339,35.645186,33.182739,25.240916,44.135835,10.757575,77.573579
SETUP_STOP,BUY,M5,CCI,339,-159.466903,-158.122842,-208.772749,-115.378488,-466.666667,398.437288
SETUP_STOP,BUY,M5,DI_PLUS,339,10.459564,9.681935,7.150839,13.310956,1.210981,35.892966
SETUP_STOP,BUY,M5,DI_MINUS,339,29.722853,29.860964,24.906416,34.482336,10.501279,53.992585
SETUP_STOP,BUY,M5,DI_GAP,339,19.826595,20.006484,12.137185,26.468596,0.045010,49.147503
